name,url
Upward Bound,https://www.youtube.com/watch?v=JgxkilF5XUM&amp;list=PLIIOUpOge0LsGJI_vni4xvfBQTuryTwlU
Advanced Civilizations,https://www.youtube.com/watch?v=J0ZMk0785kI&amp;list=PLIIOUpOge0Ls3WMYP_2FpP9Y0mjgtf98M
Collaborations,https://www.youtube.com/watch?v=X2YtamBhSHg&amp;list=PLIIOUpOge0LuhBqHPneHGXX0CXMQIMAuK
Generation Ships &amp; Interstellar Colonization,https://www.youtube.com/watch?v=H2f0Wd3zNj0&amp;list=PLIIOUpOge0LskSp9Jac9nE6xSDfZ83Tgf
Outward Bound,https://www.youtube.com/watch?v=kmFOBoy2MZ8&amp;list=PLIIOUpOge0LsIzYlIAIRdAGJTqAW6FmCE
Post Scarcity Civilizations,https://www.youtube.com/watch?v=R2rPcnWdino&amp;list=PLIIOUpOge0LvQYACAZwizb8gqtXL-10PC
Fermi Paradox Videos,https://www.youtube.com/watch?v=rDPj5zI66LA&amp;list=PLIIOUpOge0LulClL2dHXh8TTOnCgRkLdU
"Cyborgs, Androids, Transhumanism &amp; AI",https://www.youtube.com/watch?v=IcvfmIBqkQU&amp;list=PLIIOUpOge0Lt0pjc1LgiEQ1EpaIe_y_Jb
Alien Civilizations,https://www.youtube.com/watch?v=yXWe8g0zziw&amp;list=PLIIOUpOge0Lu97HzMt_BJu36UMaItB1cm
"Interstellar Warfare, Worldbuilding &amp; HADES 9",https://www.youtube.com/watch?v=O_XCB08OPw8&amp;list=PLIIOUpOge0LsnC7OipBrfLSewH76ENAgc
Futuristic Weapons,https://www.youtube.com/watch?v=Jg9BRaI_exo&amp;list=PLIIOUpOge0LvpLdGIp4xCyCVZEEUQ1Udn
Megastructures,https://www.youtube.com/watch?v=HlmKejRSVd8&amp;list=PLIIOUpOge0LtW77TNvgrWWu5OC3EOwqxQ
Visions of Earth,https://www.youtube.com/watch?v=TqKQ94DtS54&amp;list=PLIIOUpOge0Ls94qU9ZgTy3A-PbmRKKbV4
Civilizations at the End of Time,https://www.youtube.com/watch?v=p58yFf7aZsM&amp;list=PLIIOUpOge0LvHsTP5fm8oxB1qPS54sTMk
Cosmology,https://www.youtube.com/watch?v=IhG1kHbRppY&amp;list=PLIIOUpOge0LvLIXNMDKHf30gfyfnyX-4O
Life in a Space Colony,https://www.youtube.com/watch?v=VIMV6E8OxG8&amp;list=PLIIOUpOge0Lvr26RCeM_6mq72KFhPWEkG
Colonizing Space,https://www.youtube.com/watch?v=TqKQ94DtS54&amp;list=PLIIOUpOge0LufQYxcfYVqcVQOFOHFynMl
Existential Crisis Series,https://www.youtube.com/watch?v=IcvfmIBqkQU&amp;list=PLIIOUpOge0LuCndr25ORvBN9OI1k1O4kJ
Fermi Paradox Great Filters,https://www.youtube.com/watch?v=ZlgyxQJHHcY&amp;list=PLIIOUpOge0LuzO1f6z-sCZFawM_xiMHCD
Habitable Planets,https://www.youtube.com/watch?v=cSIPqFgPaZY&amp;list=PLIIOUpOge0LuGoV8698AWjDcMYeB9OvEf
FTL: Faster Than Light,https://www.youtube.com/watch?v=2_4l5_G3dnM&amp;list=PLIIOUpOge0Lv2jCm7LnYBiRYAPvxHyuWL
